Occurrences	Files
45	shakespeare-measure-13.txt
39	shakespeare-hamlet-25.txt
36	shakespeare-life-56.txt
35	shakespeare-antony-23.txt
32	shakespeare-julius-26.txt
27	shakespeare-cymbeline-17.txt
22	shakespeare-first-51.txt
22	shakespeare-coriolanus-24.txt
22	shakespeare-king-45.txt
21	shakespeare-macbeth-46.txt
18	shakespeare-alls-11.txt
18	shakespeare-pericles-21.txt
17	shakespeare-much-3.txt
15	shakespeare-life-54.txt
14	shakespeare-midsummer-16.txt
14	shakespeare-othello-47.txt
12	shakespeare-merchant-5.txt
10	shakespeare-life-55.txt
9	shakespeare-comedy-7.txt
8	shakespeare-loves-8.txt
7	shakespeare-as-12.txt
6	shakespeare-merry-15.txt
0	.DS_Store
0	shakespeare-lovers-62.txt
