Occurrences	Files
10	shakespeare-antony-23.txt
8	shakespeare-loves-8.txt
8	shakespeare-much-3.txt
8	shakespeare-merry-15.txt
7	shakespeare-as-12.txt
6	shakespeare-hamlet-25.txt
5	shakespeare-merchant-5.txt
5	shakespeare-othello-47.txt
4	shakespeare-coriolanus-24.txt
4	shakespeare-cymbeline-17.txt
4	shakespeare-macbeth-46.txt
3	shakespeare-midsummer-16.txt
3	shakespeare-first-51.txt
3	shakespeare-life-54.txt
3	shakespeare-king-45.txt
3	shakespeare-life-55.txt
3	shakespeare-julius-26.txt
2	shakespeare-alls-11.txt
2	shakespeare-comedy-7.txt
1	shakespeare-lovers-62.txt
1	shakespeare-pericles-21.txt
1	shakespeare-measure-13.txt
0	.DS_Store
0	shakespeare-life-56.txt
